"length(which_indiv)" "ownership" "headsex" "headrace" "headhisp" "headage"
1 2 1 1 1 25
1 1 1 1 1 68
1 1 2 1 1 52
1 2 1 7 2 54
1 1 2 1 1 67
3 1 1 1 1 47
3 1 2 1 1 38
2 1 2 1 1 28
1 1 2 1 1 66
3 1 1 1 1 52
1 1 1 1 1 69
1 2 1 2 1 28
1 1 1 1 1 61
1 2 1 1 1 46
1 1 2 1 1 76
2 1 1 1 1 61
2 2 2 2 1 26
1 1 1 1 1 50
2 1 1 1 1 39
1 1 1 1 1 52
1 1 1 1 1 75
3 1 2 1 1 48
3 1 1 1 1 68
2 2 2 2 1 33
1 1 1 2 1 38
2 1 1 1 1 51
1 1 1 1 1 77
3 1 1 1 1 58
2 1 2 1 1 64
2 2 2 7 2 47
2 1 1 1 1 61
3 1 1 1 1 48
2 1 1 1 2 47
1 1 2 2 1 40
1 1 1 1 1 67
1 2 2 1 1 20
2 2 1 1 1 23
3 1 2 1 1 43
1 1 1 1 1 65
1 1 2 1 1 71
1 2 2 1 1 51
1 1 2 1 1 42
3 2 1 1 2 30
1 1 2 1 1 67
1 1 2 1 1 51
1 1 2 1 1 56
2 1 1 1 1 54
3 1 2 1 1 50
3 1 2 1 1 42
3 1 1 4 1 42
3 2 2 1 1 24
2 1 1 1 1 38
3 2 2 1 1 38
3 2 1 3 1 42
1 1 1 1 1 53
1 1 1 1 1 73
3 1 2 1 1 41
1 1 2 1 1 59
1 1 1 1 1 70
1 1 1 1 1 46
1 2 1 1 1 82
2 2 2 1 1 25
2 1 1 1 1 54
1 1 2 1 1 48
3 1 2 1 1 59
1 1 1 1 1 56
2 1 1 2 1 48
3 1 1 1 1 42
2 2 2 1 1 40
2 2 2 1 2 42
3 1 2 1 1 59
1 1 1 1 1 88
1 2 2 1 1 61
1 1 2 1 1 56
2 2 1 1 1 25
3 1 2 1 1 38
1 1 1 1 1 58
2 1 1 1 1 58
3 1 2 2 1 63
1 1 2 1 1 64
1 1 2 1 5 52
2 1 2 4 1 62
1 1 1 2 1 82
2 1 1 1 1 66
2 2 2 1 1 40
2 1 1 1 1 55
1 1 1 1 1 60
