"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
154 2 2 1 1 65 2 NA NA 1 NA 66
154 3 1 NA 1 11 8 NA NA 1 NA 66
155 2 2 1 1 NA 2 1 1 1 1 39
155 3 1 NA 1 19 3 1 1 1 1 39
155 4 1 NA 1 16 NA 1 1 1 1 39
155 5 NA 1 1 16 3 1 1 1 1 39
156 2 2 1 2 65 6 1 2 1 2 67
157 2 1 1 NA 53 2 NA 2 NA NA 55
158 2 1 1 2 NA 2 1 NA 1 1 43
158 3 2 1 NA 21 3 1 NA 1 1 43
159 2 NA NA 1 47 2 NA 1 1 1 49
159 3 NA 1 1 18 3 NA 1 1 1 49
160 2 1 8 NA 27 NA 2 2 NA 1 56
160 3 1 NA 1 48 12 2 2 NA 1 56
161 2 1 1 NA 42 2 1 NA NA 1 41
161 3 2 NA 1 NA NA 1 NA NA 1 41
161 4 2 NA 1 14 3 1 NA NA 1 41
161 5 2 1 1 11 3 1 NA NA 1 41
161 6 2 NA NA 5 3 1 NA NA 1 41
162 2 2 1 1 57 3 NA 1 1 1 86
162 3 NA 1 1 41 12 NA 1 1 1 86
163 2 1 1 NA 19 3 NA 1 1 1 64
164 2 NA 1 1 NA 2 NA 1 1 1 75
165 2 1 NA NA NA 2 2 2 1 1 33
165 3 NA 1 1 10 NA 2 2 1 1 33
165 4 2 NA NA 1 3 2 2 1 1 33
166 2 2 1 1 NA 2 1 NA NA 1 78
166 3 2 NA 1 10 NA 1 NA NA 1 78
166 4 2 1 1 7 NA 1 NA NA 1 78
167 2 2 1 1 NA 2 1 1 1 1 71
168 2 1 7 5 NA 2 1 2 1 NA 27
169 2 NA NA 1 61 2 1 1 NA 1 59
169 3 NA NA 1 31 3 1 1 NA 1 59
170 2 1 NA 1 74 2 NA 2 1 NA 66
170 3 NA NA 1 41 NA NA 2 1 NA 66
170 4 2 1 NA 19 NA NA 2 1 NA 66
170 5 2 1 1 17 NA NA 2 1 NA 66
171 2 2 1 2 58 NA 1 NA 1 NA 61
171 3 2 1 2 31 3 1 NA 1 NA 61
171 4 NA NA 2 27 NA 1 NA 1 NA 61
171 5 1 1 2 13 8 1 NA 1 NA 61
171 6 1 1 NA NA 8 1 NA 1 NA 61
172 2 1 1 NA NA 3 1 NA 8 1 74
173 2 2 1 1 40 2 1 1 1 NA 42
173 3 1 1 1 12 NA 1 1 1 NA 42
173 4 NA 1 1 6 3 1 1 1 NA 42
174 2 NA 1 1 NA 2 1 NA 1 1 56
175 2 NA 1 1 54 2 1 NA 1 NA 53
175 3 NA 1 NA 22 NA 1 NA 1 NA 53
175 4 1 NA 1 20 NA 1 NA 1 NA 53
176 2 NA 8 2 24 NA NA 1 1 NA 54
176 3 NA 8 1 26 NA NA 1 1 NA 54
177 2 NA 1 1 NA 2 1 1 NA 1 83
178 2 2 1 1 63 3 NA NA 1 1 84
179 2 NA NA 1 NA NA NA 1 1 1 75
180 2 1 NA 1 7 3 NA 1 1 1 32
180 3 NA 1 NA 4 3 NA 1 1 1 32
180 4 1 1 1 9 NA NA 1 1 1 32
180 5 2 NA NA NA 12 NA 1 1 1 32
181 2 NA NA 1 NA 2 NA NA 8 NA 58
182 2 2 1 NA 57 12 2 2 1 3 34
183 2 2 NA 1 52 NA NA 1 1 1 50
183 3 1 NA 1 NA 3 NA 1 1 1 50
184 2 1 2 1 37 6 2 NA 2 1 34
184 3 1 NA NA 6 11 2 NA 2 1 34
184 4 1 2 1 5 11 2 NA 2 1 34
185 2 1 1 1 21 12 NA NA NA NA 36
186 2 2 1 1 51 2 NA 1 1 NA 53
187 2 2 NA 1 75 NA 1 1 NA 1 80
188 2 2 NA 1 NA NA 2 NA 1 1 32
188 3 2 NA 1 7 NA 2 NA 1 1 32
189 2 2 6 1 43 2 1 1 5 1 46
189 3 1 NA 1 10 NA 1 1 5 1 46
189 4 NA 5 1 7 3 1 1 5 1 46
189 5 NA NA NA 4 NA 1 1 5 1 46
190 2 2 NA 1 57 2 1 1 1 1 59
191 2 2 NA 1 38 2 NA 1 1 NA 39
191 3 1 NA NA 5 3 NA 1 1 NA 39
192 2 2 1 1 NA 2 NA 1 1 NA 59
192 3 NA 1 1 NA NA NA 1 1 NA 59
192 4 2 1 1 11 NA NA 1 1 NA 59
193 2 2 2 NA NA 2 1 NA 2 1 57
193 3 1 NA 1 22 3 1 NA 2 1 57
194 2 2 1 NA 59 NA NA 1 NA 1 68
195 2 2 NA 1 NA 2 2 1 1 NA 47
195 3 2 NA NA 12 3 2 1 1 NA 47
195 4 NA NA 1 9 3 2 1 1 NA 47
195 5 NA 1 NA 5 3 2 1 1 NA 47
196 2 NA 1 5 64 2 NA 1 NA NA 67
196 3 1 NA 5 NA 3 NA 1 NA NA 67
197 2 NA 1 1 NA NA 2 NA NA 1 39
