"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage" "householdsize"
280 3 1 1 1 16 2 1 2 1 1 64 2
281 2 2 1 1 31 1 2 1 1 1 33 1
282 2 2 1 1 13 2 1 2 1 1 38 3
282 3 2 1 1 8 2 1 2 1 1 38 3
282 4 2 1 1 9 2 1 2 1 1 38 3
283 2 2 1 1 78 1 1 1 1 1 78 1
284 2 2 1 1 57 11 1 1 1 2 64 1
285 2 2 1 2 44 1 1 1 5 2 45 3
285 3 1 1 2 20 2 1 1 5 2 45 3
285 4 1 1 2 17 2 1 1 5 2 45 3
286 2 1 2 1 9 2 2 2 2 1 35 2
286 3 1 2 1 56 1 2 2 2 1 35 2
287 2 2 1 1 74 1 1 1 1 1 78 1
288 2 1 1 1 58 1 1 2 1 1 77 1
289 2 1 1 1 72 1 1 2 1 1 61 1
290 2 1 1 1 62 1 1 2 1 1 56 1
291 2 1 2 1 25 2 2 1 8 1 45 2
291 3 2 2 1 22 2 2 1 8 1 45 2
292 2 2 1 1 55 1 1 1 1 1 66 1
293 2 2 1 1 48 1 2 1 1 1 38 3
293 3 1 1 1 18 2 2 1 1 1 38 3
293 4 2 1 1 15 2 2 1 1 1 38 3
294 2 1 1 1 53 11 1 2 1 1 57 1
295 2 2 1 1 75 1 1 1 1 1 83 1
296 2 1 2 3 2 2 2 1 2 3 30 1
297 2 1 1 1 48 1 1 2 1 1 47 2
297 3 2 1 1 6 2 1 2 1 1 47 2
298 2 2 5 1 64 1 1 1 3 1 71 2
298 3 2 3 1 17 12 1 1 3 1 71 2
299 2 2 1 1 46 1 1 1 1 1 43 3
299 3 2 1 1 17 2 1 1 1 1 43 3
299 4 2 1 1 14 2 1 1 1 1 43 3
300 2 1 1 1 61 5 1 1 1 1 54 1
301 2 1 1 3 60 1 1 2 1 1 50 2
301 3 2 1 2 15 2 1 2 1 1 50 2
302 2 2 1 3 58 1 1 1 1 1 58 2
302 3 1 1 3 24 2 1 1 1 1 58 2
303 2 2 1 1 32 1 1 1 1 1 33 3
303 3 2 1 1 8 2 1 1 1 1 33 3
303 4 1 1 1 18 2 1 1 1 1 33 3
304 2 2 1 1 51 1 2 1 1 1 43 1
305 2 1 1 1 39 1 1 2 1 1 36 3
305 3 1 1 1 11 2 1 2 1 1 36 3
305 4 2 1 1 9 2 1 2 1 1 36 3
306 2 2 1 1 33 1 1 1 1 1 52 1
307 2 2 1 1 67 1 1 1 1 1 71 1
308 2 1 1 1 48 1 1 2 1 1 48 3
308 3 2 1 1 20 2 1 2 1 1 48 3
308 4 2 1 1 16 3 1 2 1 1 48 3
309 2 1 1 1 58 1 1 2 1 1 58 1
310 2 2 1 2 41 1 1 1 1 2 31 3
310 3 2 1 2 35 5 1 1 1 2 31 3
310 4 1 1 2 33 5 1 1 1 2 31 3
311 2 2 1 1 79 1 2 1 1 1 84 1
312 2 2 1 1 25 11 1 1 1 1 37 1
313 2 2 1 1 46 2 1 2 1 1 72 1
314 2 2 1 1 73 1 1 1 1 1 52 1
315 2 2 1 1 65 1 1 1 1 1 52 1
316 2 2 1 1 48 1 1 1 1 1 43 1
317 2 2 1 1 53 1 1 1 1 1 58 1
318 2 2 1 1 58 1 1 1 1 1 58 1
319 2 2 1 1 48 1 1 1 1 1 38 1
320 2 2 1 1 76 1 1 1 1 1 76 1
321 2 2 1 1 31 11 1 1 1 1 36 2
321 3 2 1 1 6 12 1 1 1 1 36 2
322 2 1 9 2 59 11 2 2 1 2 59 1
323 2 2 1 1 66 1 1 1 1 1 65 1
324 2 1 1 1 57 1 1 2 1 1 68 1
325 2 2 1 1 63 1 1 1 1 5 80 1
326 2 2 2 1 41 11 1 2 2 1 41 2
326 3 2 2 1 11 10 1 2 2 1 41 2
327 2 1 1 1 26 1 2 2 1 1 29 2
